眠る,ねむる,睡着
黙る,だまる,沉默、不说话
取る［ノートを～］,とる,记下［记笔记］
盗む,ぬすむ,偷盗、偷窃
焦げる,こげる,烤焦、烧糊
枯れる,かれる,枯萎、凋零
平凡［な］,へいぽん［な］,平凡［的］
人生,じんせい,人生
免許,めんきょ,执照
取る［免許を～］,とる［めんきょを〜］,取得、获取［取得执照］
退職する,たいしょくする,退休
もったいない,,可惜、浪费
鍋,なべ,锅
ことば遣い,ことばづかい,措词、说法
生,なま,生、鲜
専門的［な］,せんもんてき［な］,专业性［的］
社会勉強,しゃかいべんきょう,学习处世做人
高校生,こうこうせい,高中生
迷子,まいご,迷路的孩子<br>（～になる/迷路）
縞,しま,条纹<br>（黒と白の〜のシャツ/黑白条纹的衬衫）
花柄,はながら,带花的图案
チェック,,格子图案
スカート,,裙子
無地,むじ,素色
水玉,みずたま,圆点图案、水珠花样
リュック,,双肩背包
背負う,せおう,背、背负
サービスカウンター,,服务柜台
姪,めい,侄女
特徴,とくちょう,特征、特点
身長,しんちょう,身高
ジーンズ,,牛仔裤
髮型,かみがた,发型、发式
肩,かた,肩
持ち物,もちもの,随身携带的物品
水色,みずいろ,天蓝色
折りたたみ,おりたたみ,折叠式
青地,あおじ,蓝底（纺织品）、蓝布
～地,〜じ,～底色（青地［あおじ］に花柄［はながら］の布［ぬの］/蓝底花布）
持つところ,もつところ,手柄、把手
プラスチック,,塑料
途上国,とじょうこく,发展中国家
先進国,せんしんこく,先进国家
プラス,,有益的、有帮助的
マイナス,,无益的、有负面影响的
共通,きょうつう,相同、共同
関心,かんしん,感兴趣、关心、关怀
多様化,たようか,多样化
タイトル,,题目、标题
反対に,はんたいに,反过来
前後,ぜんご,前后
対象,たいしょう,对象
少女,しょうじょ,少女
アイディア,,主意、想法
輝く,かがやく,辉煌、放光、闪耀
浮力,ふりょく,浮力
少年,しょうねん,少年
キノコ雲,キノコぐも,蘑菇云（原子弹爆炸时产生的巨大的蘑菇状云朵）
時に,ときに,有时
ダメージ,,打击、损伤
与える<br>［ダメージを〜］,あたえる,给予、予以<br>［给予打击］
ひげ,,胡须、胡子
伸びる,のびる,长、生长（ひげが～/长胡子）
発展する,はってんする,发展、进步（技術が～/技术进步）
ページ,,页
魅力,みりょく,魅力
豊か［な］,ゆたか［な］,丰富［的］、充裕［的］、富裕［的］
受ける,うける,受到<br>［ダメージを〜］<br>［受到打击］
テーマ,,题目、中心思想
述べる,のべる,叙述、陈述、阐述
確か、～たと思います。,,我记得（好像）～。<br>边回忆人或物品的样子，边解释。
ナイジェリア,,尼日利亚
トリニダードトバゴ,,特立尼达和多巴哥
インド,,印度
ウガンダ,,乌干达
