決まる,きまる,点、决定（注文［ちゅうもん］が〜/点好菜）
済む,すむ,结束、完（食事が〜/用完餐）
印鑑,いんかん,印章
サイン,,签字
性能,せいのう,性能
タイプ,,类型
機能,きのう,功能
平日,ヘいじつ,平日、平时（周一至周五）
将棋,しょうぎ,日本象棋
自慢する,じまんする,自夸、夸耀
豚肉,ぶたにく,猪肉
牛肉,ぎゅうにく,牛肉
バレーボール,,排球
気温,きおん,气温
降水量,こうすいりょう,降雨量
月別,つきべつ,按月
平均,ヘいきん,平均
予防注射,よほうちゅうしゃ,（打）预防针
国々,くにぐに,各国
都市,とし,城市
入国する,にゅうこくする,人境
資源,しげん,资源
とれる［米が〜］,［こめが〜］,产、出产［产大米］
大雪,おおゆき,大雪
乾燥する,かんそうする,干燥
道路,どうろ,道路
どんどん,,不停地、一个劲地、不断地
最後,さいご,最后
生きる,いきる,活着、健在
誕生,たんじょう,诞生
実現する,じつげんする,实现（夢が～/实现梦想）
金メダル,きんメダル,金牌
金,きん,金
メダル,,奖牌
バスケットボール,,篮球
選手,せんしゅ,选手、运动员
シンプル［な］,,简单［的］、简洁［的］
書き込み,かきこみ,填写、记人
検索,けんさく,检索
例文,れいぶん,例句
ジャンプ機能,ジャンプきのう,跳跃换项功能（指电子词典所具备的功能。在查阅某个词汇时，从一部词典跳跃到另一部词典进行查阅的功能）
ジャンプ,,跳跃
商品,しょうひん,商品
～社,〜しゃ,～社
国語辞書,こくごじしょ,国语词典（日语）
和英辞書,わえいじしょ,日英词典
載る［例文が～］,のる［れいぶんが〜］,登载、刊载［附例句］
シルバー,,银、银色
付け加える,つけくわえる,附加
編集する,へんしゅうする,编辑
しっかり,,好好地（～留守番をする/好好看家）
留守番をする,るすばんをする,看家、看门
柄,がら,图案、花样
共通語,きょうつうご,通用语
演奏,えんそう,演奏
特許,とっきょ,专利
倒産,とうさん,倒闭、破产
大金持ち,おおがねもち,大富豪
誇る,ほこる,引以为豪、自豪
表れる,あらわれる,表现出、体现（文に考えが～/想法体现在文章中）
今では,いまでは,如今
TSUNAMI,ツナミ,海啸
影響,えいきょう,影响
有名人,ゆうめいじん,名人
録音する,ろくおんする,录音
ヒント,,暗示、启发
貸し出す,かしだす,出租、借出
ところが,,然而、不过
競争,きょうそう,竞争
性別,せいべつ,性别
地域,ちいき,区域
関係なく,かんけいなく,与～无关（性別に～/不论性别）
娯楽,ごらく,娱乐
［お］年寄り,［お］としより,老人家
仲間,なかま,伙伴、同伴
心,こころ,心理、心
治す,なおす,治疗（病気を～/治病）
単なる,たんなる,仅仅、单纯
きっかけ,,契机、开端
交流協会,こうりゅうきょうかい,交流协会
広報誌,こうほうし,宣传杂志
暮らし,くらし,生活
役立つ,やくだつ,起作用
参加者,さんかしゃ,参加者
こうやって,,像这样……
～だけじゃなくて、～のがいいんですが……。,,不光～，而且～为好<br>对想买的商品，另提附加条件。
それでしたら、～（の）がよろしいんじゃないでしょうか。,,如果那样的话～不就好了吗？
ほとんど変わりませんね。,,几乎一样啊。
〜で、〜はありませんか。,,同一种（商品），有没有（其他款式）？<br>当店员推荐某款商品时，要求用同样的条件购买不同款式的商品。
ドラえもん,,哆啦 A 梦、叮当猫、机器猫：漫画主人公，被改编成动画片，译成多种语言，在世界上广为流传。
アインシュタイン,,爱因斯坦：Albert Einstein（阿尔伯特·爱因斯坦）（1879～1955）。出生于德国的理论物理学家。诺贝尔奖获得者。
タイム,,时代周刊：美国新闻周刊杂志。在世界 30 个国家出版。
ガンジー,,甘地：Mohandas Karamchand Gandhi（莫汉达斯·卡拉姆昌德·甘地）（1869～1948）印度政治家、思想家。
毛沢東,もうたくとう,毛泽东：（1893～1976）中国政治家、思想家。建立中华人民共和国。
黒澤明,くろさわあきら,黑泽明：（1910～1998）电影导演。代表作《七武士》。
井上大佑,いのうえだいすけ,井上大佑：卡拉 OK 的发明者。1949 年出生。
8 ジューク,エイトジューク,8-juke（8 声道点唱机）：第一台卡拉 OK 机。1971 年，由井上大佑发明。
曲がるストロー,,弯曲吸管：坂田多贺夫以波纹状的排风管为样本发明并取得了专利。这是他看到他的朋友在病床上用直吸管时得到的启发。
プルトップリング,,易拉环：开启饮料罐饮用口盖子的拉环。
