株式会社,かぶしきがいしゃ,股份有限公司
随筆,ずいひつ,随笔
経過［する］,けいか［する］,经过、（时间的）推移
変化［する］,へんか［する］,变化
心情,しんじょう,心情
勘違い［する］,かんちがい［する］,理解错误、错觉
日常［的］,にちじょう［てき］,日常
社交,しゃこう,社交
雑談［する］,ざつだん［する］,闲聊、闲谈
入園料,にゅうえんりょう,入园费、门票
大人,おとな,大人
小人,しょうにん,小孩儿
そのうち,,不久
注目［する］,ちゅうもく［する］,关注
語,ご,单词
思考［する］,しこう［する］,想法、思维
問い,とい,提问
全文,ぜんぶん,全文
のみこむ,,领会、理解
佃煮,つくだに,加酱油、糖煮的小鱼虾（一种日式小菜）<br>（〜にするほど多い/多得不胜枚举）
以後,いご,往后、今后
以降,いこう,以后
以来,いらい,自从……之后
一体,いったい,究竟、到底
四字熟語,よじじゅくご,四字成语
熟語,じゅくご,成语、熟语
適度［な］,てきど［な］,适度［的］
いや,,不、不是
いな,,不、不对
適切［な］,てきせつ［な］,恰当［的］
一進一退,いっしんいったい,时好时坏
試行錯誤,しこうさくご,反复试验又失败、不断摸索
月日,つきひ,日子、时间
要する,ようする,需要
ただ,,不过
浮かぶ,うかぶ,浮现、想出来
月極/月決め,つきぎめ,包月、按月
来日［する］,らいにち［する］,来到日本
詰める,つめる,往……里装
街,まち,街道
看板,かんばん,（商店）招牌、广告牌
解読［する］,かいどく［する］,阅读理解
出くわす,でくわす,遇见、见到
パーキング,,停车场
頭［〜に付く］,あたま［〜につく］,最前面［〜に付く/加在最前面］
和英辞典,わえいじてん,日英词典
辞典,じてん,词典
ひょっとして,,说不定
オーナー,,老板
苗字,みょうじ,姓氏
あるいは,,或者
ムーン,,月亮
エンド,,末端
ネーミング,,取名
なんとなく,,不知不觉
頭に入れる,あたまにいれる,记住
見慣れる,みなれる,看（习）惯
範囲,はんい,范围
広がる,ひろがる,扩大
横断［する］,おうだん［する］,横穿
どうやら,,仿佛，大概
市場［駐車場〜］,しじょう［ちゅうしゃじょう〜］,市场［駐車場〜/停车场市场］
独占［する］,どくせん［する］,垄断
一部上場,いちぶじょうじょう,主板上市公司
上場［する］,じょうじょう［する］,（股票）上市
思い込む,おもいこむ,确信、信以为真
突っ走る,つっぱしる,猛跑
在日,ざいにち,在日本
とりあえず,,首先
観光物産館,かんこうぶっさんかん,旅游特产商店
観光,かんこう,观光
目に入る,めにはいる,映入眼帘、看到
国語辞典,こくごじてん,国语词典
忍ばせる,しのばせる,悄悄携带、身藏
〜ごと［月〜］,［つき〜］,每……［月〜/每月］
契約［する］,けいやく［する］,签约
定義［する］,ていぎ［する］,定义
慣用,かんよう,惯用
一瞬,いっしゅん,一瞬间、顿时
パッと,,一下子
たとえ,,即使……（也）
読み違える,よみちがえる,读错
日々,ひび,每天
書き入れる,かきいれる,填写
かまわない,,没关系
書き留める,かきとめる,记下来
五月蠅い,うるさい,讨厌的
時雨,しぐれ,秋雨、（秋冬之交的）阵雨
向日葵,ひまわり,向日葵
流れ［文章の〜］,ながれ［ぶんしょうの〜］,展开［文章の〜/文章的展开］
ことわざ,,谚语
取り違える,とりちがえる,理解错误
情けは人のためならず,なさけはひとのためならず,为人也是为己、好人必有好报
お好み焼き,おこのみやき,欢喜烧（一种日式比萨）
話題,わだい,话题
戻す,もどす,放回原处、返回
思い違い,おもいちがい,想错、误解
自分自身,じぶんじしん,自身
わいわい,,热热闹闹地
ホームパーティー,,家庭聚会
ぴったり,,正合适
どうにか,,总算、凑合
直訳［する］,ちょくやく［する］,直译
災い,わざわい,灾难、祸害
遠ざける,とおざける,远离、回避
門,かど,门、家门口（笑う門には福来る/和气生财、和气致祥）
福,ふく,福、福气
結構［〜多い］,けっこう［〜おおい］,相当［〜多い/相当多］
辛党,からとう,爱喝酒的人
甘党,あまとう,爱吃甜食的人
知ったかぶり,しったかぶり,不懂装懂
一時,いっとき,一刻、短时间
恥,はじ,羞耻、丢脸
関連［する］,かんれん［する］,（与…….）有关
広げる［話を〜］,ひろげる［はなしを〜］,展开［話を〜/展开话题］
ベストセラー,,畅销（书）、销量第一的
コンパ,,学生聚会
共感［する］,きょうかん［する］,同感、共鸣
逆さま［な］,さかさま［な］,（顺序、位置）颠倒［的］
言い換える,いいかえる,换言之
知り合い,しりあい,熟人
石の上にも三年,いしのうえにもさんねん,功夫不负有心人
住めば都,すめばみやこ,久居则安
都,みやこ,京城、好地方
住み慣れる,すみなれる,居住习惯
