田中さんは昨日何て言っていましたか。<br>今日は休むって言っていました。,田中先生昨天说什么来着？<br>他说了今天要休息。,……て……・って……（引用）<br>句子（普通形） + て/って……<br>口语表达时，有时候引用的「と」会变成「て」或者「って」的形式。
店の前に「本日休業」って書いてありました。,店门前写着：“本日不营业”。,……て……・って……（引用）<br>句子（普通形） + て/って……<br>口语表达时，有时候引用的「と」会变成「て」或者「って」的形式。
昨日、田山って人が来ましたよ。,昨天，有个叫田山的人来过了。,……て……・って……（引用）<br>句子（普通形） + て/って……<br>口语表达时，有时候引用的「と」会变成「て」或者「って」的形式。<br>「〜という名前を持つ人、もの、ところ/名叫〜的人、东西、场所」的「〜という」也有变成「〜って」的时候。
ねえ、函館って、どんな町？,哎，函馆是个什么样子的城市啊？,〜って……（主题）<br>{句子（普通形）/N普通形<s>た</s>} + って……<br>「Xって」是说话人关于不太了解的X进行提问，或者说话人叙述X的性质及特征时使用。
メンタルトレーニングっておもしろい！,心理训练，好有意思啊！,〜って……（主题）<br>{句子（普通形）/N普通形<s>た</s>} + って……<br>「Xって」是说话人关于不太了解的X进行提问，或者说话人叙述X的性质及特征时使用。
卒業後は就職するつもりです。大学院に行くつもりはありません。,毕业后我打算就业。我不打算上研究生院了。,〜つもりはない（不打算）<br>V词典形 + つもりはない<br>「〜つもりはない」是「〜つもりだ」的否定的形式，表示“无意做”或“不打算做”的意思。
仕事が忙しいので、今夜のパーティーに出るつもりはない。,因为工作忙，我不打算出席今晚的晚会了。,〜つもりはない（不打算）<br>V词典形 + つもりはない<br>「〜つもりはない」是「〜つもりだ」的否定的形式，表示“无意做”或“不打算做”的意思。
1週間くらい休みを取ったらどうですか。<br>いえ、そのつもりはありません。,你去休假一周左右怎么样啊？<br>不，我没那个打算。,〜つもりはない（不打算）<br>V词典形 + つもりはない<br>「〜つもりはない」是「〜つもりだ」的否定的形式，表示“无意做”或“不打算做”的意思。<br>「Vつもりはない」如果V所指的内容已经清楚的时候，可以改用「そのつもりはない」。
新しいコンピューターが発売されました。いかがですか。<br>コンピューターは持っているから買うつもりはない。,新款的电脑上市了。买一台怎么样啊？<br>我有电脑，不打算买。,〜つもりはない（不打算）<br>V词典形 + つもりはない<br>「〜つもりだ」的否定有「〜つもりはない」「〜ないつもりだ」两种表现形式。不过，「〜つもりはない」否定的语气较强，用于断然拒绝对方建议等时的场合。
電話するつもりでしたが、忘れてしまいました。すみません。,我本来打算要打电话的，但忘记了。对不起。,〜つもりだった（曾经的打算）<br>{V词典形/Vない形-ない} + つもりだった<br>「つもりだった」是「〜つもりだ」的过去形，表示“本来打算要〜的”。
パーティーには行かないつもりでしたが、おもしろそうなので行くことにしました。,本来打算不参加晚会的，但是因为看上去蛮有意思的样子，所以我就决定参加了。,〜つもりだった（曾经的打算）<br>{V词典形/Vない形-ない} + つもりだった<br>「つもりだった」是「〜つもりだ」的过去形，表示“本来打算要〜的”。<br>后续的句子很多是改变主意的说法。
外国語を練習するときは、小さな子どもになったつもりで、大きな声を出してみるといい。,在练习外语的时候，可以把自己当作是小孩子，大声地说说看。,〜たつもり・〜ているつもり<br>{Vた形/Vている/いA/なA-な/Nの} + つもり<br>「Xたつもり/Xているつもり」这里的用法不同于「つもりだ/打算」，意思有以下几个：该动作之人把某事当作另外一件事来做，或把自己当作另外一种人；自以为自己是某种状态但其实并不是，或自以为做了某事但其实并没有做，是自己记错了；不管别人怎么认为，自己认为自己是尽力了等之意；或自己明明做了某事但别人不这么认为。
かぎがかかっていませんでしたよ。<br>すみません、かけたつもりでした。,“门没锁啊。”<br>“对不起，我以为我锁了。”,〜たつもり・〜ているつもり<br>{Vた形/Vている/いA/なA-な/Nの} + つもり<br>「Xたつもり/Xているつもり」这里的用法不同于「つもりだ/打算」，意思有以下几个：该动作之人把某事当作另外一件事来做，或把自己当作另外一种人；自以为自己是某种状态但其实并不是，或自以为做了某事但其实并没有做，是自己记错了；不管别人怎么认为，自己认为自己是尽力了等之意；或自己明明做了某事但别人不这么认为。
わたしは一生懸命やっているつもりです。,（别人怎么想我不知道）反正我认为我在努力地做事。,〜たつもり・〜ているつもり<br>{Vた形/Vている/いA/なA-な/Nの} + つもり<br>「Xたつもり/Xているつもり」这里的用法不同于「つもりだ/打算」，意思有以下几个：该动作之人把某事当作另外一件事来做，或把自己当作另外一种人；自以为自己是某种状态但其实并不是，或自以为做了某事但其实并没有做，是自己记错了；不管别人怎么认为，自己认为自己是尽力了等之意；或自己明明做了某事但别人不这么认为。
若いつもりで無理をしたら、けがをしてしまった。,自以为自己还年轻，硬撑着去干，结果受了伤。,〜たつもり・〜ているつもり<br>{Vた形/Vている/いA/なA-な/Nの} + つもり<br>「Xたつもり/Xているつもり」这里的用法不同于「つもりだ/打算」，意思有以下几个：该动作之人把某事当作另外一件事来做，或把自己当作另外一种人；自以为自己是某种状态但其实并不是，或自以为做了某事但其实并没有做，是自己记错了；不管别人怎么认为，自己认为自己是尽力了等之意；或自己明明做了某事但别人不这么认为。
本当の研究発表のつもりで、みんなの前で話してください。,请你把这当作是正式的研究发表会，在大家的面前讲吧。,〜たつもり・〜ているつもり<br>{Vた形/Vている/いA/なA-な/Nの} + つもり<br>「Xたつもり/Xているつもり」这里的用法不同于「つもりだ/打算」，意思有以下几个：该动作之人把某事当作另外一件事来做，或把自己当作另外一种人；自以为自己是某种状态但其实并不是，或自以为做了某事但其实并没有做，是自己记错了；不管别人怎么认为，自己认为自己是尽力了等之意；或自己明明做了某事但别人不这么认为。
この猫は一日中、寝てばかりいる。,这只猫一天到晩光睡觉。,〜てばかりいる・〜ばかり〜ている<br>Vて形 + ばかりいる<br>Nばかり + V他ている<br>表示老在做某件事情，或者反复在做某件事情，语气当中包含有说话人对此的责备以及不满的心情。
