ジュースを飲みます。,喝果汁。,名词を动词（他动词）
サッカーをします<br>トランプをします,踢足球<br>打扑克,名词をします
パーティーをします<br>会議をします,举办晩会<br>召开会议,名词をします
宿題をします<br>仕事をします<br>電話をします,做作业<br>干工作<br>打电话,名词をします
月曜日何をしますか。<br>京都へ行きます。,星期一干什么？<br>去京都。,何をしますか
きのう何をしましたか。<br>サッカーをしました。,昨天干什么了？<br>去踢足球了。,何をしますか
それは何ですか。,那是什么？,なん和なに
何の本ですか。,是什么书？,なん和なに
寝るまえに、何と言いますか。,睡觉之前要说什么？,なん和なに
何で東京へ行きますか。,坐什么去东京？,なん和なに
何で東京へ行きますか。<br>新幹線で行きます。,坐什么去东京？<br>坐新干线去。,なん和なに
テレーザちゃんは何歳ですか。,特蕾莎几岁了？,なん和なに
何を買いますか。,买什么？,なん和なに
駅で新聞を買います。,在车站买报纸。,名词（场所）で动词
いっしょに京都へ行きませんか。<br>ええ、いいですね。,一起去京都好吗？<br>嗯，好啊。,动词ませんか
ちょっと休みましょう。,休息一下吧。,动词ましょう
いっしょに昼ごはんを食べませんか。<br>ええ、食べましょう。,一起吃午饭好吗？<br>好啊，一起吃吧。,动词ましょう
日曜日京都へ行きました。<br>京都ですか。いいですね。,星期天去京都了。<br>京都呀，挺好的嘛。,〜か
