きのうは雨でした。,昨天下雨了。,名词句、な形容词句的时态：肯定・否定
きのうの試験は簡単じゃありませんでした。,昨天的考试不容易。,名词句、な形容词句的时态：肯定・否定
きのうは暑かったです。,昨天很热。,い形容词句的时态：肯定・否定
きのうのパーティーはあまり楽しくなかったです。,昨天的晚会没什么意思。,い形容词句的时态：肯定・否定
この車はあの車より大きいです。,这辆车比那辆车大。,名词1は名词2より形容词です
サッカーと野球とどちらがおもしろいですか。<br>サッカーのほうがおもしろいです。,足球和棒球哪个有意思？<br>足球有意思。,名词1と名词2とどちらが形容词ですか<br>名词1／名词2のほうが形容词です
ミラーさんとサントスさんとどちらがテニスが上手ですか。,米勒和桑托斯谁网球打得好？,名词1と名词2とどちらが形容词ですか<br>名词1／名词2のほうが形容词です
北海道と大阪とどちらが涼しいですか。,北海道和大阪哪里凉快？,名词1と名词2とどちらが形容词ですか<br>名词1／名词2のほうが形容词です
春と秋とどちらが好きですか。,春天和秋天喜欢哪个？,名词1と名词2とどちらが形容词ですか<br>名词1／名词2のほうが形容词です
日本料理［の中］で何がいちばんおいしいですか。<br>てんぷらがいちばんおいしいです。,日本菜（中）什么最好吃？<br>天妇罗最好吃。,名词1［の中］で{何/どれ/だれ/いつ}がいちばん形容词ですか<br>名词2がいちばん形容词です
ヨーロッパでどこがいちばんよかったですか。<br>スイスがいちばんよかったです。,欧洲哪里最好？<br>瑞士最好。,名词1［の中］で{何/どれ/だれ/いつ}がいちばん形容词ですか<br>名词2がいちばん形容词です
家族でだれがいちばん背が高いですか。<br>弟がいちばん背が高いです。,家里谁最高？<br>弟弟最高。,名词1［の中］で{何/どれ/だれ/いつ}がいちばん形容词ですか<br>名词2がいちばん形容词です
1年でいつがいちばん寒いですか。<br>2月がいちばん寒いです。,一年里什么时候最冷？<br>2月最冷。,名词1［の中］で{何/どれ/だれ/いつ}がいちばん形容词ですか<br>名词2がいちばん形容词です
カリナさんのかばんはどれですか。<br>あの赤くて、大きいのです。,卡莉娜的提包是哪个？<br>那个红色的大包。,形容词の（代替名词使用的「の」）
