わたしは社長にお土産をいただきました。,我得到了总经理赠送的礼品。,名词1（人）に名词2をいただきます
社長がわたしにお土産をくださいました。,总经理送了礼物给我。,［わたしに］名词をくださいます
娘は部長にお土産をいただきました。,（我）女儿得到了部长赠送的礼物。,［わたしに］名词をくださいます
部長が娘にお土産をくださいました。,部长送了礼物给（我）女儿。,［わたしに］名词をくださいます
わたしは息子にお菓子をやりました（あげました）。,我给了儿子点心。,名词1に名词2をやります
わたしは犬にえさをやりました。,我给狗喂食了。,名词1に名词2をやります
わたしは課長に手紙のまちがいを直していただきました。,我请科长给我改了信上的错误。,动词て形いただきます
部長の奥さんが［わたしに］お茶を教えてくださいました。,部长的夫人教我茶道了。,动词て形くださいます
部長が［わたしを］駅まで送ってくださいました。,部长把我送到了车站。,动词て形くださいます
部長が［わたしの］レポートを直してくださいました。,部长给我改了报告。,动词て形くださいます
わたしは息子に紙飛行機を作ってやりました（あげました）。,我给孩子做了架纸飞机。,动词て形やります
わたしは大を散歩に連れて行ってやりました。,我带狗去散步了。,动词て形やります
わたしは娘の宿題を見てやりました（あげました）。,我给女儿改了作业。,动词て形やります
コビー機の使い方を教えてくださいませんか。,能教我一下复印机的用法吗？,动词て形くださいませんか
コピー機の使い方を教えていただけませんか。,能请您教我一下复印机的用法吗？,动词て形くださいませんか
田中さんが結婚祝いにこのお皿をくださいました。,田中送给了我这个盘子作为结婚礼品。,名词に动词
北海道旅行のお土産に人形を買いました。,我买了偶人作为去北海道旅行的纪念品。,名词に动词
